Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,2010-02-05,1643690.9,0,42.0,2.57,211.096,8.106
1,2010-02-12,1641957.44,1,39.0,2.55,211.242,8.106
1,2010-02-19,1611968.17,0,40.0,2.51,211.289,8.106
1,2010-02-26,1409727.59,0,47.0,2.56,211.32,8.106
1,2010-03-05,1554806.68,0,46.0,2.62,211.35,8.106
1,2010-03-12,1439541.59,0,58.0,2.67,211.381,8.106
1,2010-03-19,1472515.79,0,55.0,2.72,211.216,8.106
1,2010-03-26,1404429.92,0,51.0,2.73,211.018,8.106
1,2010-04-02,1594968.28,0,62.0,2.72,210.82,7.808
1,2010-04-09,1545418.53,0,66.0,2.77,210.623,7.808
1,2010-04-16,1466058.28,0,66.0,2.81,210.489,7.808
1,2010-04-23,1391256.12,0,65.0,2.8,210.439,7.808
1,2010-04-30,1425100.71,0,67.0,2.78,210.39,7.808
1,2010-05-07,1603955.12,0,73.0,2.84,210.34,7.808
1,2010-05-14,1494251.5,0,75.0,2.85,210.337,7.808
1,2010-05-21,1399662.07,0,76.0,2.83,210.617,7.808
1,2010-05-28,1432069.95,0,80.0,2.76,210.897,7.808
1,2010-06-04,1615524.71,0,81.0,2.7,211.176,7.808
1,2010-06-11,1542561.09,0,80.0,2.67,211.456,7.808
1,2010-06-18,1503284.06,0,84.0,2.64,211.454,7.808
1,2010-06-25,1422711.6,0,84.0,2.65,211.339,7.808
1,2010-07-02,1492418.14,0,81.0,2.67,211.224,7.787
1,2010-07-09,1546074.18,0,80.0,2.64,211.108,7.787
1,2010-07-16,1448938.92,0,83.0,2.62,211.1,7.787
1,2010-07-23,1385065.2,0,83.0,2.61,211.235,7.787
1,2010-07-30,1371986.6,0,82.0,2.64,211.37,7.787
1,2010-08-06,1605491.78,0,87.0,2.63,211.505,7.787
1,2010-08-13,1508237.76,0,87.0,2.69,211.639,7.787
1,2010-08-20,1513080.49,0,87.0,2.66,211.603,7.787
1,2010-08-27,1449142.92,0,85.0,2.62,211.567,7.787
1,2010-09-03,1540163.53,0,81.0,2.58,211.531,7.787
1,2010-09-10,1507460.69,1,79.0,2.56,211.495,7.787
1,2010-09-17,1430378.67,0,82.0,2.58,211.522,7.787
1,2010-09-24,1351791.03,0,81.0,2.62,211.597,7.787
1,2010-10-01,1453329.5,0,72.0,2.6,211.672,7.838
1,2010-10-08,1508239.93,0,64.0,2.63,211.747,7.838
1,2010-10-15,1459409.1,0,67.0,2.72,211.814,7.838
1,2010-10-22,1345454.0,0,70.0,2.72,211.861,7.838
1,2010-10-29,1384209.22,0,70.0,2.72,211.909,7.838
1,2010-11-05,1551659.28,0,59.0,2.69,211.956,7.838
1,2010-11-12,1494479.49,0,60.0,2.73,212.004,7.838
1,2010-11-19,1483784.18,0,51.0,2.77,211.89,7.838
1,2010-11-26,1955624.11,1,65.0,2.74,211.748,7.838
1,2010-12-03,1548033.78,0,49.0,2.71,211.607,7.838
1,2010-12-10,1682614.26,0,46.0,2.84,211.466,7.838
1,2010-12-17,1891034.93,0,50.0,2.87,211.405,7.838
1,2010-12-24,2387950.2,0,52.0,2.89,211.405,7.838
1,2010-12-31,1367320.01,1,48.0,2.94,211.405,7.838
1,2011-01-07,1444732.28,0,48.0,2.98,211.405,7.742
1,2011-01-14,1391013.96,0,35.0,2.98,211.457,7.742
1,2011-01-21,1327405.42,0,44.0,3.02,211.827,7.742
1,2011-01-28,1316899.31,0,44.0,3.01,212.197,7.742
1,2011-02-04,1606629.58,0,42.0,2.99,212.567,7.742
1,2011-02-11,1649614.93,1,36.0,3.02,212.937,7.742
1,2011-02-18,1686842.78,0,57.0,3.04,213.248,7.742
1,2011-02-25,1456800.28,0,63.0,3.06,213.536,7.742
1,2011-03-04,1636263.41,0,60.0,3.29,213.823,7.742
1,2011-03-11,1553191.63,0,54.0,3.46,214.111,7.742
1,2011-03-18,1576818.06,0,63.0,3.49,214.363,7.742
1,2011-03-25,1541102.38,0,70.0,3.47,214.6,7.742
1,2011-04-01,1495064.75,0,59.0,3.52,214.837,7.682
1,2011-04-08,1614259.35,0,68.0,3.62,215.074,7.682
1,2011-04-15,1559889.0,0,71.0,3.74,215.292,7.682
1,2011-04-22,1564819.81,0,73.0,3.81,215.46,7.682
1,2011-04-29,1455090.69,0,72.0,3.81,215.628,7.682
1,2011-05-06,1629391.28,0,65.0,3.91,215.796,7.682
